Week,Day,Session,Exercise,Prescription,Rest_s,RPE_Target,Cues,Log_Weight,Log_Reps,Log_Symptoms_0_10,Log_Notes
,,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,7,Exhala arriba,,,,
,,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,7,Control,,,,
,,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,7,Sin balanceo,,,,
,,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,7,Control,,,,
,,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,7,Espalda alta,,,,
,,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,7,Control,,,,
,,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,7,Control,,,,
,,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,7,Baja activación,,,,
,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
,,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,7,Rango cómodo,,,,
,,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,7,Control,,,,
,,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,7,Control,,,,
,,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,7,Rodilla estable,,,,
,,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,7,Pausa arriba,,,,
,,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,7,Lento,,,,
,,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,7,Postura alta,,,,
,,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7,Relaja,,,,
,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,7,Escápulas activas,,,,
,,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,7,Control,,,,
,,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,7,Espalda media,,,,
,,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,7,Exhala arriba,,,,
,,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,7,Rango cómodo,,,,
,,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,7,Control,,,,
,,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,7,Control,,,,
,,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,7,Baja pulsaciones,,,,
,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6,Exhala; rango cómodo,,,,
,,Fuerza Lower 1 (fase 2),Prensa,3x8-10,90-150,6,Exhala al empujar; control,,,,
,,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),2x8-10,90-150,6,Cadera atrás; espalda neutra,,,,
,,Fuerza Lower 1 (fase 2),Hip thrust / máquina,2x10-12,90-150,6,Pausa 1s arriba; glúteo,,,,
,,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6,Controlado,,,,
,,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6,Ligero; sin dolor,,,,
,,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6,Anti-rotación,,,,
,,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6,Relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6,Activa escápulas,,,,
,,Fuerza Upper 1 (fase 2),Press inclinado,3x8-12,90-150,6,Exhala arriba,,,,
,,Fuerza Upper 1 (fase 2),Remo sentado (polea),3x8-12,90-150,6,Control,,,,
,,Fuerza Upper 1 (fase 2),Jalón al pecho,2x8-12,90-150,6,Sin balanceo,,,,
,,Fuerza Upper 1 (fase 2),Elevación lateral,2x12-15,60-90,6,Control,,,,
,,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6,Espalda alta,,,,
,,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6,Control,,,,
,,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6,Control,,,,
,,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6,Baja activación,,,,
,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,25-35 min,,—,Ritmo conversable; hidrátate,,,,
,,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6,Rango cómodo,,,,
,,Fuerza Lower 2 (fase 2),Curl femoral,2x10-12,75-120,6,Control,,,,
,,Fuerza Lower 2 (fase 2),Extensión cuádriceps,2x10-12,75-120,6,Control,,,,
,,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),1-2x8-10 c/pierna,75-120,6,Rodilla estable,,,,
,,Fuerza Lower 2 (fase 2),Gemelos,2x12-15,60-90,6,Pausa arriba,,,,
,,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6,Lento,,,,
,,Fuerza Lower 2 (fase 2),Farmer carry,2x40-60s,60-90,6,Postura alta,,,,
,,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6,Relaja,,,,
,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6,Escápulas activas,,,,
,,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,3x6-10,90-150,6,Control,,,,
,,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),2x8-12,90-150,6,Espalda media,,,,
,,Fuerza Upper 2 (fase 2),Press militar sentado,2x8-10,90-150,6,Exhala arriba,,,,
,,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6,Rango cómodo,,,,
,,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6,Control,,,,
,,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6,Control,,,,
,,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6,Baja pulsaciones,,,,
,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Exhala; rango cómodo,,,,
,,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,6-7,Exhala al empujar; control,,,,
,,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Cadera atrás; espalda neutra,,,,
,,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,6-7,Pausa 1s arriba; glúteo,,,,
,,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6-7,Controlado,,,,
,,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6-7,Ligero; sin dolor,,,,
,,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6-7,Anti-rotación,,,,
,,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6-7,Activa escápulas,,,,
,,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,6-7,Exhala arriba,,,,
,,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,6-7,Sin balanceo,,,,
,,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6-7,Espalda alta,,,,
,,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6-7,Baja activación,,,,
,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
,,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6-7,Rango cómodo,,,,
,,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,6-7,Control,,,,
,,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,6-7,Control,,,,
,,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,6-7,Rodilla estable,,,,
,,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,6-7,Pausa arriba,,,,
,,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6-7,Lento,,,,
,,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,6-7,Postura alta,,,,
,,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja,,,,
,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6-7,Escápulas activas,,,,
,,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,6-7,Espalda media,,,,
,,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,6-7,Exhala arriba,,,,
,,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6-7,Rango cómodo,,,,
,,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6-7,Baja pulsaciones,,,,
,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Exhala; rango cómodo,,,,
,,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,6-7,Exhala al empujar; control,,,,
,,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Cadera atrás; espalda neutra,,,,
,,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,6-7,Pausa 1s arriba; glúteo,,,,
,,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6-7,Controlado,,,,
,,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6-7,Ligero; sin dolor,,,,
,,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6-7,Anti-rotación,,,,
,,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6-7,Activa escápulas,,,,
,,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,6-7,Exhala arriba,,,,
,,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,6-7,Sin balanceo,,,,
,,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6-7,Espalda alta,,,,
,,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6-7,Baja activación,,,,
,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
,,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6-7,Rango cómodo,,,,
,,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,6-7,Control,,,,
,,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,6-7,Control,,,,
,,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,6-7,Rodilla estable,,,,
,,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,6-7,Pausa arriba,,,,
,,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6-7,Lento,,,,
,,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,6-7,Postura alta,,,,
,,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja,,,,
,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6-7,Escápulas activas,,,,
,,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,6-7,Espalda media,,,,
,,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,6-7,Exhala arriba,,,,
,,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6-7,Rango cómodo,,,,
,,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6-7,Baja pulsaciones,,,,
,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,7-8,Exhala; rango cómodo,,,,
,,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,7-8,Exhala al empujar; control,,,,
,,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,7-8,Cadera atrás; espalda neutra,,,,
,,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,7-8,Pausa 1s arriba; glúteo,,,,
,,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,7-8,Controlado,,,,
,,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,7-8,Ligero; sin dolor,,,,
,,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,7-8,Anti-rotación,,,,
,,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7-8,Relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,7-8,Activa escápulas,,,,
,,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,7-8,Exhala arriba,,,,
,,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,7-8,Control,,,,
,,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,7-8,Sin balanceo,,,,
,,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,7-8,Espalda alta,,,,
,,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,7-8,Baja activación,,,,
,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
,,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,7-8,Rango cómodo,,,,
,,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,7-8,Control,,,,
,,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,7-8,Control,,,,
,,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,7-8,Rodilla estable,,,,
,,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,7-8,Pausa arriba,,,,
,,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,7-8,Lento,,,,
,,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,7-8,Postura alta,,,,
,,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7-8,Relaja,,,,
,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,7-8,Escápulas activas,,,,
,,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,7-8,Control,,,,
,,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,7-8,Espalda media,,,,
,,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,7-8,Exhala arriba,,,,
,,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,7-8,Rango cómodo,,,,
,,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,7-8,Baja pulsaciones,,,,
,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,7-8,Exhala; rango cómodo,,,,
,,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,7-8,Exhala al empujar; control,,,,
,,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,7-8,Cadera atrás; espalda neutra,,,,
,,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,7-8,Pausa 1s arriba; glúteo,,,,
,,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,7-8,Controlado,,,,
,,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,7-8,Ligero; sin dolor,,,,
,,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,7-8,Anti-rotación,,,,
,,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7-8,Relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,7-8,Activa escápulas,,,,
,,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,7-8,Exhala arriba,,,,
,,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,7-8,Control,,,,
,,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,7-8,Sin balanceo,,,,
,,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,7-8,Espalda alta,,,,
,,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,7-8,Baja activación,,,,
,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
,,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,7-8,Rango cómodo,,,,
,,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,7-8,Control,,,,
,,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,7-8,Control,,,,
,,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,7-8,Rodilla estable,,,,
,,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,7-8,Pausa arriba,,,,
,,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,7-8,Lento,,,,
,,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,7-8,Postura alta,,,,
,,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7-8,Relaja,,,,
,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,7-8,Escápulas activas,,,,
,,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,7-8,Control,,,,
,,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,7-8,Espalda media,,,,
,,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,7-8,Exhala arriba,,,,
,,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,7-8,Rango cómodo,,,,
,,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,7-8,Control,,,,
,,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,7-8,Baja pulsaciones,,,,
,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
