Week,Day,Session,Exercise,Prescription,Rest_s,RPE_Target,Cues,Log_Weight,Log_Reps,Log_Symptoms_0_10,Log_Notes
6,Viernes,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,6-7,Espalda media,,,,
6,Viernes,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,6-7,Exhala arriba,,,,
6,Viernes,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6-7,Rango cómodo,,,,
6,Viernes,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
6,Viernes,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6-7,Control,,,,
6,Viernes,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6-7,Baja pulsaciones,,,,
6,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
6,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,7,Exhala; rango cómodo,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,7,Exhala al empujar; control,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,7,Cadera atrás; espalda neutra,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,7,Pausa 1s arriba; glúteo,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,7,Controlado,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,7,Ligero; sin dolor,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,7,Anti-rotación,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7,Relaja suelo pélvico,,,,
7,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,7,Activa escápulas,,,,
7,Martes,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,7,Exhala arriba,,,,
7,Martes,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,7,Control,,,,
7,Martes,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,7,Sin balanceo,,,,
7,Martes,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,7,Control,,,,
7,Martes,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,7,Espalda alta,,,,
7,Martes,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,7,Control,,,,
7,Martes,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,7,Control,,,,
7,Martes,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,7,Baja activación,,,,
7,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
7,Miércoles,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
7,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,7,Rango cómodo,,,,
7,Jueves,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,7,Control,,,,
7,Jueves,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,7,Control,,,,
7,Jueves,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,7,Rodilla estable,,,,
7,Jueves,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,7,Pausa arriba,,,,
7,Jueves,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,7,Lento,,,,
7,Jueves,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,7,Postura alta,,,,
7,Jueves,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7,Relaja,,,,
7,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,7,Escápulas activas,,,,
7,Viernes,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,7,Control,,,,
7,Viernes,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,7,Espalda media,,,,
7,Viernes,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,7,Exhala arriba,,,,
7,Viernes,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,7,Rango cómodo,,,,
7,Viernes,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,7,Control,,,,
7,Viernes,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,7,Control,,,,
7,Viernes,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,7,Baja pulsaciones,,,,
7,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
7,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6,Exhala; rango cómodo,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Prensa,3x8-10,90-150,6,Exhala al empujar; control,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),2x8-10,90-150,6,Cadera atrás; espalda neutra,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Hip thrust / máquina,2x10-12,90-150,6,Pausa 1s arriba; glúteo,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6,Controlado,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6,Ligero; sin dolor,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6,Anti-rotación,,,,
8,Lunes,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6,Relaja suelo pélvico,,,,
8,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6,Activa escápulas,,,,
8,Martes,Fuerza Upper 1 (fase 2),Press inclinado,3x8-12,90-150,6,Exhala arriba,,,,
8,Martes,Fuerza Upper 1 (fase 2),Remo sentado (polea),3x8-12,90-150,6,Control,,,,
8,Martes,Fuerza Upper 1 (fase 2),Jalón al pecho,2x8-12,90-150,6,Sin balanceo,,,,
8,Martes,Fuerza Upper 1 (fase 2),Elevación lateral,2x12-15,60-90,6,Control,,,,
8,Martes,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6,Espalda alta,,,,
8,Martes,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6,Control,,,,
8,Martes,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6,Control,,,,
8,Martes,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6,Baja activación,,,,
8,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,25-35 min,,—,Ritmo conversable; hidrátate,,,,
8,Miércoles,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
8,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6,Rango cómodo,,,,
8,Jueves,Fuerza Lower 2 (fase 2),Curl femoral,2x10-12,75-120,6,Control,,,,
8,Jueves,Fuerza Lower 2 (fase 2),Extensión cuádriceps,2x10-12,75-120,6,Control,,,,
8,Jueves,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),1-2x8-10 c/pierna,75-120,6,Rodilla estable,,,,
8,Jueves,Fuerza Lower 2 (fase 2),Gemelos,2x12-15,60-90,6,Pausa arriba,,,,
8,Jueves,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6,Lento,,,,
8,Jueves,Fuerza Lower 2 (fase 2),Farmer carry,2x40-60s,60-90,6,Postura alta,,,,
8,Jueves,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6,Relaja,,,,
8,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6,Escápulas activas,,,,
8,Viernes,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,3x6-10,90-150,6,Control,,,,
8,Viernes,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),2x8-12,90-150,6,Espalda media,,,,
8,Viernes,Fuerza Upper 2 (fase 2),Press militar sentado,2x8-10,90-150,6,Exhala arriba,,,,
8,Viernes,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6,Rango cómodo,,,,
8,Viernes,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6,Control,,,,
8,Viernes,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6,Control,,,,
8,Viernes,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6,Baja pulsaciones,,,,
8,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
8,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Exhala; rango cómodo,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,6-7,Exhala al empujar; control,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Cadera atrás; espalda neutra,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,6-7,Pausa 1s arriba; glúteo,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6-7,Controlado,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6-7,Ligero; sin dolor,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6-7,Anti-rotación,,,,
9,Lunes,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja suelo pélvico,,,,
9,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6-7,Activa escápulas,,,,
9,Martes,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,6-7,Exhala arriba,,,,
9,Martes,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,6-7,Control,,,,
9,Martes,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,6-7,Sin balanceo,,,,
9,Martes,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,6-7,Control,,,,
9,Martes,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6-7,Espalda alta,,,,
9,Martes,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6-7,Control,,,,
9,Martes,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
9,Martes,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6-7,Baja activación,,,,
9,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
9,Miércoles,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
9,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6-7,Rango cómodo,,,,
9,Jueves,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,6-7,Control,,,,
9,Jueves,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,6-7,Control,,,,
9,Jueves,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,6-7,Rodilla estable,,,,
9,Jueves,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,6-7,Pausa arriba,,,,
9,Jueves,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6-7,Lento,,,,
9,Jueves,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,6-7,Postura alta,,,,
9,Jueves,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja,,,,
9,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6-7,Escápulas activas,,,,
9,Viernes,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,6-7,Control,,,,
9,Viernes,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,6-7,Espalda media,,,,
9,Viernes,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,6-7,Exhala arriba,,,,
9,Viernes,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6-7,Rango cómodo,,,,
9,Viernes,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
9,Viernes,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6-7,Control,,,,
9,Viernes,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6-7,Baja pulsaciones,,,,
9,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
9,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Exhala; rango cómodo,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,6-7,Exhala al empujar; control,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Cadera atrás; espalda neutra,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,6-7,Pausa 1s arriba; glúteo,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6-7,Controlado,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6-7,Ligero; sin dolor,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6-7,Anti-rotación,,,,
10,Lunes,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja suelo pélvico,,,,
10,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6-7,Activa escápulas,,,,
10,Martes,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,6-7,Exhala arriba,,,,
10,Martes,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,6-7,Control,,,,
10,Martes,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,6-7,Sin balanceo,,,,
10,Martes,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,6-7,Control,,,,
10,Martes,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6-7,Espalda alta,,,,
10,Martes,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6-7,Control,,,,
10,Martes,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
10,Martes,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6-7,Baja activación,,,,
10,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
10,Miércoles,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
10,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6-7,Rango cómodo,,,,
10,Jueves,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,6-7,Control,,,,
10,Jueves,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,6-7,Control,,,,
10,Jueves,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,6-7,Rodilla estable,,,,
10,Jueves,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,6-7,Pausa arriba,,,,
10,Jueves,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6-7,Lento,,,,
10,Jueves,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,6-7,Postura alta,,,,
10,Jueves,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja,,,,
10,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6-7,Escápulas activas,,,,
10,Viernes,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,6-7,Control,,,,
10,Viernes,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,6-7,Espalda media,,,,
10,Viernes,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,6-7,Exhala arriba,,,,
10,Viernes,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6-7,Rango cómodo,,,,
10,Viernes,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
10,Viernes,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6-7,Control,,,,
10,Viernes,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6-7,Baja pulsaciones,,,,
10,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
10,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,7-8,Exhala; rango cómodo,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,7-8,Exhala al empujar; control,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,7-8,Cadera atrás; espalda neutra,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,7-8,Pausa 1s arriba; glúteo,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,7-8,Controlado,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,7-8,Ligero; sin dolor,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,7-8,Anti-rotación,,,,
11,Lunes,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7-8,Relaja suelo pélvico,,,,
11,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,7-8,Activa escápulas,,,,
11,Martes,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,7-8,Exhala arriba,,,,
11,Martes,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,7-8,Control,,,,
11,Martes,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,7-8,Sin balanceo,,,,
11,Martes,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,7-8,Control,,,,
11,Martes,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,7-8,Espalda alta,,,,
11,Martes,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,7-8,Control,,,,
11,Martes,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,7-8,Control,,,,
11,Martes,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,7-8,Baja activación,,,,
11,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
11,Miércoles,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
11,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,7-8,Rango cómodo,,,,
11,Jueves,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,7-8,Control,,,,
11,Jueves,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,7-8,Control,,,,
11,Jueves,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,7-8,Rodilla estable,,,,
11,Jueves,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,7-8,Pausa arriba,,,,
11,Jueves,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,7-8,Lento,,,,
11,Jueves,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,7-8,Postura alta,,,,
11,Jueves,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7-8,Relaja,,,,
11,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,7-8,Escápulas activas,,,,
11,Viernes,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,7-8,Control,,,,
11,Viernes,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,7-8,Espalda media,,,,
11,Viernes,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,7-8,Exhala arriba,,,,
11,Viernes,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,7-8,Rango cómodo,,,,
11,Viernes,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,7-8,Control,,,,
11,Viernes,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,7-8,Control,,,,
11,Viernes,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,7-8,Baja pulsaciones,,,,
11,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
11,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,7-8,Exhala; rango cómodo,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,7-8,Exhala al empujar; control,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,7-8,Cadera atrás; espalda neutra,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,7-8,Pausa 1s arriba; glúteo,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,7-8,Controlado,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,7-8,Ligero; sin dolor,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,7-8,Anti-rotación,,,,
12,Lunes,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7-8,Relaja suelo pélvico,,,,
12,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,7-8,Activa escápulas,,,,
12,Martes,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,7-8,Exhala arriba,,,,
12,Martes,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,7-8,Control,,,,
12,Martes,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,7-8,Sin balanceo,,,,
12,Martes,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,7-8,Control,,,,
12,Martes,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,7-8,Espalda alta,,,,
12,Martes,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,7-8,Control,,,,
12,Martes,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,7-8,Control,,,,
12,Martes,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,7-8,Baja activación,,,,
12,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
12,Miércoles,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
12,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,7-8,Rango cómodo,,,,
12,Jueves,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,7-8,Control,,,,
12,Jueves,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,7-8,Control,,,,
12,Jueves,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,7-8,Rodilla estable,,,,
12,Jueves,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,7-8,Pausa arriba,,,,
12,Jueves,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,7-8,Lento,,,,
12,Jueves,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,7-8,Postura alta,,,,
12,Jueves,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7-8,Relaja,,,,
12,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,7-8,Escápulas activas,,,,
12,Viernes,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,7-8,Control,,,,
12,Viernes,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,7-8,Espalda media,,,,
12,Viernes,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,7-8,Exhala arriba,,,,
12,Viernes,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,7-8,Rango cómodo,,,,
12,Viernes,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,7-8,Control,,,,
12,Viernes,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,7-8,Control,,,,
12,Viernes,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,7-8,Baja pulsaciones,,,,
12,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
12,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
